00004,21
00004,30
00004,45
00015,24
00015,38
00015,48
00015,52
00021,2
00026,23
00026,36
00026,56
00026,62
00029,23
00029,37
00031,8
00031,15
00031,16
00038,7
00038,12
00038,16
00038,19
00038,24
00038,29
00038,38
00038,41
00038,46
00038,58
00042,18
00042,41
00042,62
00045,2
00045,13
00045,20
00045,49
00052,12
00052,14
00052,15
00052,18
00054,8
00054,12
00054,46
00057,29
00057,31
00057,53
00062,15
00062,20
00062,26
00062,60
00064,13
00064,49
00065,0
00065,37
00065,40
00065,62
00067,6
00067,37
00067,75
00069,9
00069,24
00069,34
00069,38
00069,46
00069,62
00078,11
00078,68
00079,5
00079,53
00079,54
00083,10
00083,48
00083,55
00083,58
00085,21
00085,31
00085,33
00087,5
00087,8
00087,21
00087,22
00089,19
00089,32
00089,47
00089,50
00089,51
00091,2
00091,19
00091,26
00091,55
00091,60
00095,21
00095,24
00095,27
00099,7
00099,42
00099,47
00101,60
00107,6
00107,72
00109,10
00109,13
00109,18
00109,26
00109,35
00110,20
00110,45
00110,46
00112,22
00112,72
00113,17
00113,36
00113,41
00114,13
00114,24
00114,26
00115,8
00115,13
00117,18
00117,24
00117,31
00117,52
00117,74
00130,17
00130,56
00130,57
00132,9
00132,17
00132,51
00136,21
00138,3
00138,4
00138,15
00138,28
00138,38
00138,52
00144,26
00144,49
00144,56
00145,7
00145,11
00145,34
00145,37
00145,50
00145,68
00154,7
00154,21
00154,43
00154,66
00154,67
00157,35
00157,44
00157,53
00157,58
00159,7
00159,18
00159,26
00159,51
00165,22
00165,31
00165,49
00165,54
00167,71
00168,9
00168,28
00168,33
00174,0
00174,22
00174,28
00174,56
00178,3
00178,15
00180,29
00180,33
00180,49
00180,59
00180,62
00180,76
00182,23
00182,43
00183,17
00183,29
00183,68
00185,1
00185,38
00185,41
00185,48
00185,53
00185,75
00190,27
00190,48
00190,62
00191,3
00191,9
00191,15
00191,16
00191,25
00191,27
00191,37
00192,5
00192,7
00192,18
00192,23
00192,26
00192,31
00196,4
00196,21
00196,38
00196,48
00197,9
00197,50
00197,60
00197,61
00198,10
00198,43
00199,6
00199,32
00199,36
00199,44
00199,70
00202,43
00202,69
00203,2
00203,33
00203,35
00209,10
00209,57
00209,61
00209,62
00209,65
00212,61
00215,19
00215,90
00216,18
00216,21
00216,23
00216,39
00217,1
00217,5
00217,50
00219,9
00219,17
00219,19
00219,51
00226,12
00226,17
00226,36
00226,53
00226,62
00226,63
00227,9
00227,42
00227,59
00233,13
00233,20
00233,21
00233,52
00233,54
00234,19
00236,9
00236,15
00236,40
00237,7
00237,24
00237,34
00237,42
00237,44
00237,66
00239,7
00239,16
00239,30
00239,49
00239,55
00239,60
00240,6
00248,42
00251,20
00251,67
00252,27
00252,37
00252,67
00253,35
00253,51
00253,67
00253,70
00255,62
00258,22
00258,40
00258,50
00258,57
00258,71
00261,26
00262,19
00262,23
00262,29
00262,31
00262,38
00262,50
00262,66
00266,44
00266,55
00269,1
00269,4
00269,9
00269,26
00269,29
00271,35
00271,50
00271,51
00272,24
00277,6
00277,18
00277,35
00280,11
00280,48
00283,22
00283,26
00283,45
00287,18
00287,61
00288,2
00288,10
00288,30
00288,38
00288,50
00289,22
00289,30
00289,66
00293,4
00293,16
00293,17
00293,31
00293,35
00293,38
00293,43
00297,11
00302,34
00302,35
00308,5
00308,38
00308,46
00308,48
00309,13
00309,14
00309,15
00309,23
00309,63
00309,74
00310,0
00310,1
00310,17
00310,22
00310,46
00310,53
00312,8
00312,25
00312,39
00312,46
00312,59
00312,78
00313,3
00313,53
00313,63
00313,69
00329,11
00329,18
00329,34
00329,50
00329,74
00335,42
00335,43
00335,56
00345,25
00345,56
00347,22
00347,47
00347,52
00350,36
00350,38
00350,58
00354,62
00354,71
00360,32
00361,35
00363,2
00363,13
00363,18
00363,31
00363,48
00365,30
00370,17
00370,43
00370,45
00370,60
00370,69
00373,5
00373,8
00377,10
00377,55
00377,66
00379,26
00384,2
00384,9
00384,31
00384,60
00384,64
00387,30
00387,48
00388,9
00388,11
00388,65
00389,17
00389,38
00389,41
00389,46
00389,58
